"outcome","component","estimate","ci_lcl","ci_ucl","p","effect_str"
"IR binary (HOMA>=2.5)","Rcde",1.25033967128032,1.05438180413045,1.55110561363305,0.004,"1.250 (1.054 to 1.551), p=0.004"
"IR binary (HOMA>=2.5)","Rpnde",1.215087843331,1.06319010394655,1.44327010772692,0.004,"1.215 (1.063 to 1.443), p=0.004"
"IR binary (HOMA>=2.5)","Rtnde",1.2418958303747,1.07998377532072,1.49100324518445,0,"1.242 (1.080 to 1.491), p=0"
"IR binary (HOMA>=2.5)","Rpnie",1.16959264801297,1.08489508972432,1.29125325686426,0,"1.170 (1.085 to 1.291), p=0"
"IR binary (HOMA>=2.5)","Rtnie",1.19539689313518,1.10032101701647,1.32105051148292,0,"1.195 (1.100 to 1.321), p=0"
"IR binary (HOMA>=2.5)","Rte",1.45251223280421,1.22365620172776,1.7771574960641,0,"1.453 (1.224 to 1.777), p=0"
"IR binary (HOMA>=2.5)","ERcde",0.123182997212907,0.0289959331803869,0.257343812959791,0.004,"0.123 (0.029 to 0.257), p=0.004"
"IR binary (HOMA>=2.5)","ERintref",0.091904846118096,0.029443468142272,0.184855821634548,0,"0.092 (0.029 to 0.185), p=0"
"IR binary (HOMA>=2.5)","ERintmed",0.067831741460239,0.0199870210132894,0.152669025655382,0,"0.068 (0.020 to 0.153), p=0"
"IR binary (HOMA>=2.5)","ERpnie",0.169592648012965,0.0848950961191745,0.291254298363819,0,"0.170 (0.085 to 0.291), p=0"
"IR binary (HOMA>=2.5)","ERcde(prop)",0.272220258996193,0.0996011173586342,0.399431602608615,0.004,"0.272 (0.100 to 0.399), p=0.004"
"IR binary (HOMA>=2.5)","ERintref(prop)",0.203099141759249,0.0928218541028521,0.301336078643125,0,"0.203 (0.093 to 0.301), p=0"
"IR binary (HOMA>=2.5)","ERintmed(prop)",0.149900348637842,0.0657234123064765,0.217572264834792,0,"0.150 (0.066 to 0.218), p=0"
"IR binary (HOMA>=2.5)","ERpnie(prop)",0.374780250606716,0.197382964355396,0.662981587930592,0,"0.375 (0.197 to 0.663), p=0"
"IR binary (HOMA>=2.5)","pm",0.524680599244558,0.330111726599157,0.771096103974273,0,"0.525 (0.330 to 0.771), p=0"
"IR binary (HOMA>=2.5)","int",0.352999490397092,0.179192289059911,0.465262012136023,0,"0.353 (0.179 to 0.465), p=0"
"IR binary (HOMA>=2.5)","pe",0.727779741003807,0.600568397391385,0.900398882641366,0,"0.728 (0.601 to 0.900), p=0"
