"exposure","sHR","lo","hi","p","n_obs","n_cm_event","n_other_event"
"URXMEP_z",0.9427,0.7231,1.2292,0.6631,1255,54,95
"URXMBP_z",1.0035,0.7634,1.3191,0.9801,1255,54,95
"URXMIB_z",0.8152,0.6132,1.0837,0.1596,1255,54,95
"URXMZP_z",0.926,0.6976,1.2293,0.5948,1255,54,95
"URXMHP_z",1.0573,0.8155,1.3709,0.6742,1255,54,95
"URXMHH_z",1.0753,0.7871,1.469,0.6482,1255,54,95
"URXMOH_z",1.1054,0.8257,1.4799,0.5008,1255,54,95
"URXECP_z",1.2096,0.9189,1.5924,0.1749,1255,54,95
"sum_dehp_mol_z",1.1494,0.8665,1.5247,0.3341,1255,54,95
"sum_hmw_z",1.1434,0.8671,1.5077,0.3423,1255,54,95
"sum_lmw_z",0.9084,0.693,1.1907,0.4864,1255,54,95
