"exposure","outcome","model","OR_per_SD","lo","hi","p_per_SD","n_obs"
"URXMEP_z","ir_binary_asian","Crude",1.0432391168356,0.931614134552509,1.1682388818829,0.465315094692898,2239
"URXMEP_z","ir_binary_asian","M1",0.999004701218623,0.883677800901699,1.12938266870408,0.987341806968052,2239
"URXMEP_z","ir_binary_asian","M2",0.952661572691983,0.82656531308769,1.09799438436836,0.505150282221928,2078
"URXMBP_z","ir_binary_asian","Crude",1.14156714108003,1.02055497638916,1.27692830640484,0.0227622154616601,2239
"URXMBP_z","ir_binary_asian","M1",1.14842269766262,1.02168455912783,1.29088247514729,0.022706193831903,2239
"URXMBP_z","ir_binary_asian","M2",1.12340352239415,0.966636677494728,1.30559444257635,0.133135720706851,2078
"URXMIB_z","ir_binary_asian","Crude",1.29861063988209,1.16126518889078,1.45220024689261,1.43154961224089e-05,2239
"URXMIB_z","ir_binary_asian","M1",1.29932288647627,1.15460203752212,1.46218342637273,3.74407849620843e-05,2239
"URXMIB_z","ir_binary_asian","M2",1.25859672000087,1.07142935590822,1.47846024085664,0.00642288214662391,2078
"URXMZP_z","ir_binary_asian","Crude",1.28967184464509,1.14030398352128,1.45860532884758,0.000105782520325884,2239
"URXMZP_z","ir_binary_asian","M1",1.31128016937081,1.15473814408602,1.48904380736994,6.96793067636944e-05,2239
"URXMZP_z","ir_binary_asian","M2",1.14124368382546,0.976157186173378,1.33424940605843,0.101426577548495,2078
"URXMHP_z","ir_binary_asian","Crude",1.10424768540534,0.989659050341991,1.23210407695628,0.0793296627443913,2239
"URXMHP_z","ir_binary_asian","M1",1.08965610386946,0.972403628764829,1.2210468879144,0.142960977290025,2239
"URXMHP_z","ir_binary_asian","M2",1.11431616352916,0.980116235083492,1.26689107664518,0.102250632554576,2078
"URXMHH_z","ir_binary_asian","Crude",1.24448522556175,1.10868606823831,1.39691795631781,0.000352403997024998,2239
"URXMHH_z","ir_binary_asian","M1",1.23430811867508,1.09703466307315,1.38875879050107,0.000737065675669698,2239
"URXMHH_z","ir_binary_asian","M2",1.20156077037207,1.05306979785688,1.37099011654813,0.00784253258455548,2078
"URXMOH_z","ir_binary_asian","Crude",1.22838718624841,1.09593752342049,1.37684406920369,0.000640201426418199,2239
"URXMOH_z","ir_binary_asian","M1",1.22004328904474,1.08588829251966,1.37077233210539,0.00121036938174036,2239
"URXMOH_z","ir_binary_asian","M2",1.18000192432839,1.03564042897004,1.34448646699074,0.0150295261402774,2078
"URXECP_z","ir_binary_asian","Crude",1.21717637877565,1.07985125388394,1.37196519587375,0.0017784075021808,2239
"URXECP_z","ir_binary_asian","M1",1.20883870180935,1.07087266130758,1.3645796179051,0.00287732439747535,2239
"URXECP_z","ir_binary_asian","M2",1.19466219872713,1.04301396588935,1.36835921257352,0.0121118411082035,2078
"sum_dehp_mol_z","ir_binary_asian","Crude",1.2322168326821,1.10011217145753,1.38018500489222,0.000497332402092461,2239
"sum_dehp_mol_z","ir_binary_asian","M1",1.22339264831562,1.09044786952782,1.37254573444284,0.000909321562062978,2239
"sum_dehp_mol_z","ir_binary_asian","M2",1.19402770946477,1.04816648598831,1.36018675470759,0.00926340145462795,2078
"sum_hmw_z","ir_binary_asian","Crude",1.22932939736334,1.09886609099058,1.37528201080385,0.000500658999729584,2239
"sum_hmw_z","ir_binary_asian","M1",1.2217057257886,1.09027580389263,1.36897918407042,0.000871360485362049,2239
"sum_hmw_z","ir_binary_asian","M2",1.19204671409104,1.04832459833092,1.35547269503895,0.00895810552628992,2078
"sum_lmw_z","ir_binary_asian","Crude",1.10298579652165,0.986346724011932,1.23341786180434,0.0889555150634818,2239
"sum_lmw_z","ir_binary_asian","M1",1.06740174731191,0.947069350586903,1.20302329439598,0.288093232072579,2239
"sum_lmw_z","ir_binary_asian","M2",1.00443304628031,0.867655098800166,1.16277279515221,0.952922665606795,2078
