"metabolite","outcome","fam","p_overall","p_linear","p_nonlinear","n_used"
"URXMEP","homa_ir_log","gaussian",0.514991523980506,0.407444992079343,0.560626602422309,2239
"URXMBP","homa_ir_log","gaussian",0.824762949434476,0.505479962417819,0.759343964059583,2239
"URXMIB","homa_ir_log","gaussian",0.0148982175627368,0.000845983952466032,0.666815160479025,2239
"URXMZP","homa_ir_log","gaussian",0.253956183395889,0.152907084460434,0.338288116991453,2239
"URXMHP","homa_ir_log","gaussian",0.000592044874058894,0.0906502736071688,0.00052508861212984,2239
"URXMHH","homa_ir_log","gaussian",0.0388622832949143,0.00247270488733489,0.850826102231097,2239
"URXMOH","homa_ir_log","gaussian",0.0821057824120997,0.00756494441087535,0.769840803819682,2239
"URXECP","homa_ir_log","gaussian",0.0677714593839312,0.00390367517149385,0.970170945368568,2239
"URXMEP","ir_binary","binomial",0.199390864346095,0.402311838756496,0.17086179944371,2239
"URXMBP","ir_binary","binomial",0.188238099952671,0.580713562042354,0.124939196589401,2239
"URXMIB","ir_binary","binomial",0.0992875352889414,0.00901237809982458,0.908087147861301,2239
"URXMZP","ir_binary","binomial",0.0712749057730028,0.381586542099395,0.0458280465832617,2239
"URXMHP","ir_binary","binomial",0.0753600309997559,0.543071003660735,0.0518306004889349,2239
"URXMHH","ir_binary","binomial",0.448000315959308,0.105501133050227,0.786826254241464,2239
"URXMOH","ir_binary","binomial",0.413203877033674,0.151528712310938,0.701210012035717,2239
"URXECP","ir_binary","binomial",0.688427031153558,0.26365974812898,0.883479522291117,2239
