"scenario","n","events","outcome","measure","est","CI_low","CI_high","p_value"
"Main analysis (baseline)",2239,1062,"IR_binary","OR",1.0784,0.9592,1.2124,0.2037
"S1: Exclude deaths within 2 yrs",1217,18,"All_cause_mortality","HR",0.8642,0.4522,1.6519,0.5725
"S2: HOMA-IR >= 2.50",2239,1062,"IR_binary","OR",1.0784,0.9592,1.2124,0.2037
"S2: HOMA-IR >= 3.60",2239,644,"IR_binary","OR",1.158,1.0253,1.3078,0.01879
"S2: HOMA-IR >= 4.65",2239,412,"IR_binary","OR",1.2359,1.0723,1.4245,0.003947
"S3: Creatinine-adjusted Sum-DEHP",1095,518,"IR_binary","OR",1.0976,0.9253,1.3019,0.2752
"S4: MICE m=20 multiple imputation",2239,1062,"IR_binary","OR",1.0878,0.9709,1.2188,0.1467
"S5: Exclude prior CHD/CHF/stroke",2066,967,"IR_binary","OR",1.0885,0.9694,1.2221,0.1491
"S6: Mixture full (all 8 metab)",2239,1062,"IR_binary","OR",1.1079,0.9464,1.2969,0.1992
"S6: Mixture LOO (drop MEP, 7 remain)",2239,1062,"IR_binary","OR",1.1212,0.9686,1.2978,0.1236
"S6: Mixture LOO (drop MnBP, 7 remain)",2239,1062,"IR_binary","OR",1.1135,0.9556,1.2974,0.1658
"S6: Mixture LOO (drop MiBP, 7 remain)",2239,1062,"IR_binary","OR",1.0783,0.9255,1.2563,0.3293
"S6: Mixture LOO (drop MBzP, 7 remain)",2239,1062,"IR_binary","OR",1.1048,0.9498,1.2851,0.1932
"S6: Mixture LOO (drop MEHP, 7 remain)",2239,1062,"IR_binary","OR",1.1128,0.9452,1.3101,0.1963
"S6: Mixture LOO (drop MEHHP, 7 remain)",2239,1062,"IR_binary","OR",1.1036,0.9376,1.2991,0.2324
"S6: Mixture LOO (drop MEOHP, 7 remain)",2239,1062,"IR_binary","OR",1.1074,0.9401,1.3046,0.2187
"S6: Mixture LOO (drop MECPP, 7 remain)",2239,1062,"IR_binary","OR",1.1112,0.9436,1.3086,0.203
"S7: Fasting >= 10h strict",2005,942,"IR_binary","OR",1.107,0.9751,1.2567,0.1147
"S8: 2011-2018 cycles only",1097,518,"IR_binary","OR",1.0838,0.8606,1.365,0.4827
