"strata","level","n","OR","CI_low","CI_high","p_value","p_interaction"
"age_group","20-39",776,1.2211454335638,1.03789384333532,1.43675211052576,0.0167124153061617,0.153442475417028
"age_group","40-59",844,1.04817441779522,0.838689965839999,1.30998301502267,0.675512983659333,0.153442475417028
"age_group",">=60",619,0.84571008766618,0.618355514262651,1.15665751478451,0.289080925500651,0.153442475417028
"sex","Male",1130,1.06428146760056,0.902479219994811,1.25509265718553,0.454311552185284,0.883777029317928
"sex","Female",1109,1.09842509226937,0.902191684278355,1.33734072742208,0.345397215651992,0.883777029317928
"race","Non-Hispanic White",1033,1.01495524927288,0.856858769189485,1.20222164383168,0.861557127642046,0.0913047087308804
"race","Non-Hispanic Black",411,1.06574681867824,0.827845609035078,1.37201462341108,0.61301314041364,0.0913047087308804
"race","Mexican American",394,1.36206252536771,1.03683147725016,1.78931134298834,0.0276432997039715,0.0913047087308804
"race","Other Hispanic",230,1.12434533472587,0.715834791485809,1.76598350171819,0.59416558575675,0.0913047087308804
"race","Other Race",171,1.65751617953427,1.00850427954254,2.72419259010392,0.0467380789192302,0.0913047087308804
"education","Less than HS",567,1.03062228683383,0.809583871565521,1.31201020107357,0.803727287678268,0.247899869370188
"education","High school",545,1.33311724138458,0.986871186560056,1.80084453116077,0.0606342598544436,0.247899869370188
"education","College or above",1127,1.01006497300789,0.863762837423914,1.18114742322114,0.898982249419447,0.247899869370188
"bmi","<25",621,0.885562625450057,0.677077468465429,1.15824436658837,0.369929598356353,0.143537233520018
"bmi","25-30",787,1.16855828254589,0.985761382744548,1.38525254043195,0.0721401764267179,0.143537233520018
"bmi",">=30",831,1.21355659299932,0.952704468253977,1.54583047890094,0.115304445331966,0.143537233520018
"smoke","Never",1235,1.19062468126667,1.00063914607913,1.41668166510973,0.0491836965638629,0.222978603795748
"smoke","Ever",1004,0.959330690398514,0.791516652894246,1.16272395555454,0.668422141016214,0.222978603795748
"drink","No",537,1.25201362634464,1.00169379903715,1.56488751558551,0.0483417243128091,0.403568106428416
"drink","Yes",1541,1.0530922730192,0.9023332408563,1.229039655505,0.507006878338705,0.403568106428416
"hypertension","No",1507,1.07031650706451,0.941868157706028,1.21628214726452,0.293382720220437,0.865485008855378
"hypertension","Yes",732,1.10391316279065,0.802624861874004,1.51829868331908,0.538384191554184,0.865485008855378
"postmenopausal (Female)","No",531,1.25191381002601,0.955269008697473,1.64067731022789,0.102084426082222,0.586944593354072
"postmenopausal (Female)","Yes",578,1.10092767606498,0.864933901335982,1.40131141357011,0.429122726454753,0.586944593354072
