"variable","p_trend"
"age",8.75530529503689e-05
"bmi",0.000134946532498409
"waist",0.00393447949999156
"pir",0.373133780832094
"homa_ir",0.000106814740375572
"LBXGLU",0.251580077377079
"LBXIN",2.19927511121217e-05
"LBXGH",0.0143808540258802
"sum_dehp_mol",8.16884560874379e-09
"sum_hmw",6.02230328082148e-09
"sum_lmw",2.04676481250995e-08
"fish_freq_30d",0.743759364681539
"kcal_day",0.00186417442590364
"hscrp_log",0.979987852089705
"age_group",0.000151578349368281
"sex_male",5.58845164564101e-05
"race",0.0268471752925764
"education",0.786356176246315
"smoke",0.293224793545881
"hypertension",0.807213546479175
"cycle_tag",4.78770322654737e-27
"smoke_objective",0.00108671093695307
